name	@lat	@lon
Ignacego Mościckiego	50.0812099	20.0373209
Stefana Żeromskiego	50.0793025	20.0367006
Floriańska	50.0634602	19.9402948
Aleja Róż	50.0800685	20.0399178
Księcia Józefa	50.0501326	19.9062355
Księcia Józefa	50.0497776	19.9057443
Księcia Józefa	50.0495488	19.9050043
Skawińska	50.0477063	19.9430696
Aleja generała Władysława Andersa	50.0843100	20.0204209
Kocmyrzowska	50.0808003	20.0302093
Kocmyrzowska	50.0814184	20.0309200
Zakopiańska	49.9913266	19.9166155
Borkowska	50.0042628	19.9051587
Kamieniecka	50.0011272	19.8984569
Marii Konopnickiej	50.0499808	19.9316952
Józefa Dietla	50.0500093	19.9357858
Tadeusza Ptaszyckiego	50.0680538	20.0663471
Brzeska	50.0801148	20.1858771
Jasnogórska	50.0963040	19.8916542
Jasnogórska	50.0953668	19.8920452
Rondo Stanisława Barei	50.0886564	19.9737931
Aleja generała Władysława Andersa	50.0818943	20.0245652
Marchołta	50.0924776	19.9848660
Księcia Józefa	50.0488352	19.9021543
Aleja 3 Maja	50.0592562	19.9242376
Józefa	50.0503474	19.9433183
Plac Wolnica	50.0490913	19.9440389
Zakopiańska	49.9890213	19.9153862
Żmujdzka	50.0850526	19.9538014
Balicka	50.0812481	19.8906295
Zjazd Rogoziany	50.0722866	19.8069888
Zjazd Rogoziany	50.0723603	19.8069797
Bronowicka	50.0809064	19.8923203
Jesionowa	50.0705245	19.8768710
Samuela Bogumiła Lindego	50.0782921	19.8704166
Karola Popiela	50.0749428	19.8868605
Marka Nawary	50.0746547	19.8860800
Księdza Ferdynanda Machaya	50.0743904	19.8846580
Justowska	50.0753526	19.8839624
Edwarda Bzymka-Strzałkowskiego	50.0753991	19.8845276
Eugeniusza Kwiatkowskiego	50.0742128	19.8866281
Włościańska	50.0735995	19.8887776
Michała Drzymały	50.0738448	19.8927242
Stanisława Przybyszewskiego	50.0730693	19.8958373
Wrocławska	50.0817715	19.9153402
Wrocławska	50.0820302	19.9153890
Wrocławska	50.0822990	19.9154396
Józefa Wybickiego	50.0829417	19.9200551
Wojciecha Weissa	50.0847517	19.9087699
Murarska	50.0861167	19.9120894
Walerego Eljasza-Radzikowskiego	50.0830177	19.9100180
Gnieźnieńska	50.0850675	19.9065486
Zygmuntowska	50.0858765	19.9077269
Murarska	50.0840993	19.9111091
Józefa Chełmońskiego	50.0852741	19.9171588
Józefa Mehoffera	50.0875275	19.9127381
Józefa Chełmońskiego	50.0864074	19.9138768
Wielkotyrnowska	50.0870116	19.9145969
Wincentego Wodzinowskiego	50.0849322	19.9134435
Gustawa Ehrenberga	50.0850964	19.9128071
Gustawa Ehrenberga	50.0832441	19.9120777
Piotra Wysockiego	50.0847717	19.9120282
Wacława Nałkowskiego	50.0847697	19.9139298
Wacława Nałkowskiego	50.0830190	19.9130965
Heleny Modrzejewskiej	50.0866728	19.9151522
Ludomira Różyckiego	50.0882925	19.9116742
Tadeusza Makowskiego	50.0876289	19.9188843
Wojciecha Weissa	50.0886047	19.9096173
Ludomira Różyckiego	50.0883065	19.9100582
Wojciecha Weissa	50.0875221	19.9094405
Ludomira Różyckiego	50.0883913	19.9092748
Aleja generała Władysława Andersa	50.0786317	20.0282841
Rondo Kocmyrzowskie imienia księdza Józefa Gorzelanego	50.0793090	20.0275293
Aleja Solidarności	50.0769639	20.0549922
Aleja Przyjaźni	50.0740549	20.0420182
Aleja Jana Pawła II	50.0731148	20.0179914
Plac Centralny imienia Ronalda Reagana	50.0714580	20.0378161
Rondo Czyżyńskie	50.0731618	20.0173710
Rondo Mogilskie	50.0653072	19.9588781
Bieńczycka	50.0742135	20.0183217
Aleja Jana Pawła II	50.0737880	20.0168966
Juliana Dunajewskiego	50.0637506	19.9333417
Lubicz	50.0656241	19.9568468
Gustawa Herlinga-Grudzińskiego	50.0511425	19.9617413
Most Kotlarski	50.0523940	19.9609073
Stanisława Klimeckiego	50.0461617	19.9722295
Most Kotlarski	50.0524509	19.9611483
Podgórska	50.0466765	19.9456575
Targowa	50.0459328	19.9539047
Solna	50.0480071	19.9536568
Marii Konopnickiej	50.0512961	19.9306058
Warszawska	50.0735313	19.9438111
Warszawska	50.0717787	19.9444879
Aleja 29 Listopada	50.0740042	19.9452526
Aleja 29 Listopada	50.0733587	19.9445687
Aleja 29 Listopada	50.0748665	19.9466042
Warszawska	50.0728338	19.9432289
Marii Konopnickiej	50.0490391	19.9324594
Marii Konopnickiej	50.0500579	19.9314365
Marii Konopnickiej	50.0489755	19.9322586
Most Zwierzyniecki	50.0487293	19.9062518
Generała Bohdana Zielińskiego	50.0481541	19.9084671
Most Zwierzyniecki	50.0487259	19.9066673
Most Zwierzyniecki	50.0491843	19.9045042
Monte Cassino	50.0487691	19.9309304
Marii Konopnickiej	50.0500184	19.9317422
Most Grunwaldzki	50.0497093	19.9343500
Rondo 308 Dywizjonu	50.0669853	20.0039639
Aleja Pokoju	50.0666625	20.0016163
Aleja Pokoju	50.0730003	20.0169363
Nowohucka	50.0677071	20.0045359
Bieńczycka	50.0791879	20.0263489
Aleja Pułkownika Władysława Beliny-Prażmowskiego	50.0665987	19.9597535
Rymarska	50.0670701	19.9689182
Janusza Supniewskiego	50.0684915	19.9683353
Rusałek	50.0739786	19.9618074
Olszańska	50.0708285	19.9625714
Rakowicka	50.0750953	19.9576661
Orląt Lwowskich	50.0724229	19.9614743
Józefa Brodowicza	50.0683243	19.9598464
Józefa Brodowicza	50.0680648	19.9598801
Generała Józefa Chłopickiego	50.0672416	19.9614590
Leona Misiołka	50.0672825	19.9605292
Pilotów	50.0808289	19.9739218
Pilotów	50.0817132	19.9785410
Ułanów	50.0815814	19.9785173
Karola Łowińskiego	50.0881327	20.0663513
Generała Leopolda Okulickiego	50.0881610	20.0042872
Karola Łowińskiego	50.0879322	20.0643100
Ujastek	50.0876877	20.0655729
Ujastek	50.0876601	20.0650834
Wiślicka	50.0932921	20.0066423
Nowohucka	50.0728922	20.0041009
Marii Dąbrowskiej	50.0749207	20.0127350
Marii Dąbrowskiej	50.0740166	20.0128702
Marii Dąbrowskiej	50.0759194	20.0135974
Władysława Broniewskiego	50.0853472	20.0197311
Marii Dąbrowskiej	50.0809562	20.0156894
Władysława Broniewskiego	50.0879580	20.0202979
Mieczysława Karłowicza	50.0675482	19.9222867
Księcia Józefa	50.0490391	19.9035678
Jacka Malczewskiego	50.0510592	19.9022949
Aleja Marszałka Ferdinanda Focha	50.0592721	19.9246595
Wrocławska	50.0747972	19.9353405
Kawiory	50.0677091	19.9124972
Aleja Kijowska	50.0706629	19.9145847
Westerplatte	50.0640052	19.9449914
Kurniki	50.0672668	19.9432769
Pielęgniarek	50.0830038	19.9344447
Doktora Twardego	50.0827263	19.9345467
Bratysławska	50.0843893	19.9344404
Pielęgniarek	50.0831648	19.9343391
Generała Augusta Fieldorfa-Nila	50.0888453	19.9355495
"Batalionu ""Skała"" AK"	50.0881363	19.9237588
Nad Sudołem	50.0920150	19.9261760
Łukasza Górnickiego	50.0941060	19.9391512
Białoprądnicka	50.0938720	19.9382466
Zielony Most	50.0825161	19.8807497
Grażyny	50.0879355	19.9476638
Kuźnicy Kołłątajowskiej	50.0988282	19.9536620
Gabriela Narutowicza	50.0912688	19.9435391
Ojcowska	50.0909944	19.8811917
Siewna	50.0945254	19.9510457
Matki Pauli Zofii Tajber	50.0964579	19.9315802
Łukasza Górnickiego	50.0947192	19.9398283
Legnicka	50.0896683	19.9506890
Izydora Stella-Sawickiego	50.0876853	20.0012523
Wiślicka	50.0881563	20.0014959
Stanisława Przybyszewskiego	50.0722911	19.8955773
Zwierzyniecka	50.0557025	19.9282001
Smocza	50.0519025	19.9353489
Bernardyńska	50.0530389	19.9365913
Elizy Orzeszkowej	50.0499359	19.9387633
Beera Meiselsa	50.0505172	19.9418126
Generała Tadeusza Bora-Komorowskiego	50.0876100	20.0013396
Opolska	50.0895796	19.9101541
Opolska	50.0895885	19.9096260
Opolska	50.0894020	19.9101014
Opolska	50.0893694	19.9112890
Opolska	50.0917010	19.9357310
Opolska	50.0918006	19.9350629
Opolska	50.0901883	19.9430086
Estakada Generała Tadeusza Rozwadowskiego	50.0859728	19.9552185
Estakada Generała Tadeusza Rozwadowskiego	50.0867287	19.9522713
Estakada Generała Tadeusza Rozwadowskiego	50.0858990	19.9551699
Estakada Generała Tadeusza Rozwadowskiego	50.0853321	19.9574177
Aleja 29 Listopada	50.0858273	19.9542982
Estakada Generała pilota Mateusza Iżyckiego	50.0852440	19.9729513
Lublańska	50.0850585	19.9660882
Generała Tadeusza Bora-Komorowskiego	50.0877703	20.0013391
Generała Tadeusza Bora-Komorowskiego	50.0878308	20.0024335
Estakada Generała pilota Mateusza Iżyckiego	50.0850320	19.9692654
Mieczysława Medweckiego	50.0761631	20.0027445
Mieczysława Medweckiego	50.0761677	20.0086843
Nawojki	50.0698359	19.9055522
Czarnowiejska	50.0654041	19.9244769
Czarnowiejska	50.0658612	19.9245820
Karmelicka	50.0689081	19.9267104
Władysława Reymonta	50.0673438	19.9036439
Kazimierza Wielkiego	50.0749904	19.9114832
Witkowicka	50.1090794	19.9636927
Podgórska	50.0514557	19.9548792
Aleja Ignacego Daszyńskiego	50.0518321	19.9549144
Aleja Ignacego Daszyńskiego	50.0568351	19.9519993
Akacjowa	50.0816223	19.9788106
XX Pijarów	50.0849004	19.9756233
Akacjowa	50.0852434	19.9796657
Pilotów	50.0810937	19.9738977
Dobrego Pasterza	50.0876577	19.9969288
Strzelców	50.0893487	19.9737114
Powstańców	50.0977642	19.9723426
Imbramowska	50.0904453	19.9445200
Grażyny	50.0889797	19.9486250
Generała Tadeusza Bora-Komorowskiego	50.0877242	20.0003579
Generała Tadeusza Bora-Komorowskiego	50.0876342	20.0018924
Aleja Pokoju	50.0623247	19.9823027
Aleja Pokoju	50.0618872	19.9813775
Aleja Pokoju	50.0622400	19.9824810
Aleja Pokoju	50.0625700	19.9831968
Fabryczna	50.0606985	19.9705985
Fabryczna	50.0613522	19.9704829
Janusza Meissnera	50.0767535	19.9788463
Janusza Meissnera	50.0803899	19.9736168
Tadeusza Romanowicza	50.0448162	19.9621086
Józefińska	50.0450343	19.9567768
Benedyktyńska	50.0200806	19.8018984
Dąbrowa	50.0187311	19.8424590
Tyniecka	50.0514410	19.9242480
Tyniecka	50.0287888	19.8521421
Bolesława Śmiałego	50.0157105	19.8090909
Bogucianka	50.0126867	19.8107231
Jana Brożka	50.0304260	19.9264414
Zachodnia	50.0246276	19.9083112
Norymberska	50.0363215	19.8979275
Zygmunta Miłkowskiego	50.0274847	19.9203511
Kamieniarska	50.0308478	19.9133473
Zygmunta Miłkowskiego	50.0281298	19.9178672
Słomiana	50.0440633	19.9254740
Komandosów	50.0454675	19.9299418
Kapelanka	50.0453576	19.9227061
Szwedzka	50.0440545	19.9273011
Władysława Mitkowskiego	50.0461303	19.9266944
Dworska	50.0454825	19.9292045
Barska	50.0436768	19.9341757
Ruczaj	50.0251845	19.9239062
Strąkowa	50.0258770	19.9247790
Podhalańska	50.0217283	19.9173692
Turonia	50.0247289	19.9222668
Zbrojarzy	50.0184610	19.9309986
Juliana Ursyna Niemcewicza	50.0181263	19.9266534
Zdunów	50.0210197	19.9198223
Rynek Fałęcki	50.0180029	19.9234066
Chłodna	50.0184309	19.9252935
Chłodna	50.0180764	19.9264238
Tęczowa	50.0180952	19.9248510
Dekarzy	50.0214431	19.9214713
Pastelowa	50.0251509	19.9148912
Turonia	50.0259379	19.9222186
Michała Bałuckiego	50.0500991	19.9263027
Barska	50.0509424	19.9297120
Adolfa Nowaczyńskiego	50.0475321	19.9196325
Czarodziejska	50.0489975	19.9143955
Dąbrowa	50.0186244	19.8423843
Dąbrowa	50.0172001	19.8417655
Kozienicka	50.0064469	19.8476058
Kozienicka	50.0063950	19.8509591
Podgórki Tynieckie	50.0092132	19.8414250
Plac Mariacki	50.0618516	19.9398414
Władysława Ludwika Anczyca	50.0535122	19.9107719
Świętej Anny	50.0626145	19.9321624
Szewska	50.0620543	19.9362055
Szczepańska	50.0638581	19.9342788
Wiślna	50.0608787	19.9350565
Bracka	50.0610122	19.9366444
Wielopole	50.0577185	19.9458598
Stolarska	50.0600358	19.9392303
Pijarska	50.0653919	19.9373477
Mikołaja Kopernika	50.0611550	19.9457226
Strzelecka	50.0644255	19.9501929
Iwony Borowickiej	50.0662668	19.9571441
Zygmunta Augusta	50.0655667	19.9504701
Botaniczna	50.0645502	19.9549174
Gołębia	50.0608184	19.9342610
Gontyna	50.0529289	19.9112594
Aleja Jerzego Waszyngtona	50.0532489	19.9068294
Bolesława Komorowskiego	50.0538947	19.9203657
Rotmistrza Zbigniewa Dunin-Wąsowicza	50.0580922	19.9254356
Włóczków	50.0560246	19.9240244
Michała Stachowicza	50.0551002	19.9217533
Filarecka	50.0567327	19.9194465
Salwatorska	50.0545352	19.9152294
Leona Wyczółkowskiego	50.0569329	19.9142900
Dojazdowa	50.0529826	19.9215101
Emaus	50.0555477	19.9098411
Diabelski Most	50.0533145	19.9010999
Aleja Jerzego Waszyngtona	50.0532497	19.9028545
Kupa	50.0512743	19.9463382
Jonatana Warszauera	50.0525991	19.9460858
Izaaka	50.0513948	19.9459164
Jakuba	50.0529425	19.9463106
Ciemna	50.0517722	19.9472605
Henryka Siemiradzkiego	50.0687960	19.9290419
Grodzka	50.0596585	19.9377646
Senacka	50.0577114	19.9385014
Plac Dominikański	50.0591129	19.9382773
Świętego Jana	50.0637366	19.9390162
Sławkowska	50.0648200	19.9383633
Krupnicza	50.0628572	19.9260219
Studencka	50.0626126	19.9311991
Kapucyńska	50.0619339	19.9311740
Igrców	50.0626560	19.9039208
Daniela Chodowieckiego	50.0648551	19.9057129
Igrców	50.0630991	19.9032867
Witolda Budryka	50.0681804	19.9068388
Autostrada MS AGH	50.0681845	19.9092662
Władysława Łokietka	50.0842600	19.9237817
Lekarska	50.0865434	19.9392802
Stefana Jaracza	50.0842794	19.9447122
Zielińska	50.0959254	19.9319610
Białoprądnicka	50.0960436	19.9341922
Łukasza Górnickiego	50.0951983	19.9402645
Gabriela Narutowicza	50.0917980	19.9415555
Papiernicza	50.0922818	19.9410574
Bursztynowa	50.0912648	19.9468489
Jazowa	50.0911098	19.9427978
Bałtycka	50.0917797	19.9443279
Gabriela Narutowicza	50.0914301	19.9425331
Łobzowska	50.0696680	19.9326187
Garbarska	50.0658354	19.9349677
Słowiańska	50.0691028	19.9373801
Słowiańska	50.0692030	19.9372727
Krowoderska	50.0672243	19.9378965
Biskupia	50.0673217	19.9343551
Biskupia	50.0676100	19.9361335
Biskupia	50.0673625	19.9353089
Adama Asnyka	50.0667675	19.9348773
Basztowa	50.0661777	19.9353891
Sereno Fenn'a	50.0671146	19.9369986
Stefana Batorego	50.0670550	19.9303069
Świętej Teresy	50.0711958	19.9324317
Szlak	50.0701811	19.9328001
Rajska	50.0647087	19.9291429
Długa	50.0733669	19.9357999
Marii Konopnickiej	50.0505349	19.9310119
Józefa Dietla	50.0578740	19.9468124
Starowiślna	50.0586395	19.9431081
Stanisława Lentza	50.0842425	19.9091163
Władysława Łokietka	50.0778386	19.9294056
Władysława Łokietka	50.0835174	19.9249234
Sosnowiecka	50.0946205	19.8848848
Wojciecha Halczyna	50.0804097	19.9038092
Młodej Polski	50.0736798	19.9013952
Królowej Jadwigi	50.0562464	19.9038213
Królowej Jadwigi	50.0571965	19.9016185
Świętego Filipa	50.0677699	19.9420025
Aleja Kasztanowa	50.0662714	19.8588370
Świerkowa	50.0624872	19.8640697
Aleja Modrzewiowa	50.0612459	19.8646301
Basztowa	50.0659481	19.9369216
Podzamcze	50.0551411	19.9340957
Podzamcze	50.0553579	19.9371398
Wielicka	50.0263600	19.9772088
Piastowska	50.0705223	19.9041742
Piastowska	50.0716360	19.9046936
Piastowska	50.0695116	19.9038042
Piastowska	50.0678243	19.9032135
28 Lipca 1943	50.0643028	19.8753273
Jodłowa	50.0491783	19.8688722
Samuela Bogumiła Lindego	50.0791600	19.8753337
Marszałka Mikołaja Wolskiego	50.0474927	19.8243935
Józefa Wybickiego	50.0838179	19.9260456
Oboźna	50.0778910	19.9277786
Cieszyńska	50.0748436	19.9303099
Na Błonie	50.0785550	19.8804691
Na Błonie	50.0810080	19.8833316
Na Błonie	50.0806803	19.8852878
Balicka	50.0813420	19.8839653
Piotra Borowego	50.0643412	19.8902966
Podłużna	50.0680972	19.8466128
Chełmska	50.0677154	19.8467885
Olszanicka	50.0678437	19.8464789
